title,content,id,분류,작성일
주유소 가격 보고 안내,"주유소 판매가격 보고 방법을 안내드리니 첨부 파일을 확인 바랍니다. 추가 문의를 원하실 경우, 오피넷으로 전화(1688-5142)주시면 상세히 안내해드리겠습니다.",17,석유사업자,2020.12.02
"대리점_월간 판매가격 보고 안내 (일반대리점, 용제대리점, 부생연료유판매소)","□ 보고대상 : 일반대리점, 용제대리점, 부생연료유 판매소 □ 보고서식 : 석유및석유대체연료사업법 시행규칙 별지 제36호의4서식 □ 보고시기 : 매월 23일, 오후 6시까지 ※ 23일이 공휴일이면 첫 영업개시일 동 시간까지 제출 완료 □ 공개일시 : 매월 26일, 오후 3시 ※ 공휴일이 끼어 있을 경우, 보고기한(23일)으로부터 3영업일 후 게시 □ 세부작성기준 ㅇ 보고방법 - 첨부 파일 참고 ㅇ 유종 : 보고서식(별지 제36호의4서식)에 기재된 유종 중에서 실제 취급하여 판매하고 있는 유종을 기준으로 작성 ㅇ 단위 -판매량 : ℓ 단위로 작성 -매출액 : 원 단위로 작성 -판매단가 : 원/ℓ으로 자동 산정(매출액÷판매량) ㅇ 작성시 참고 - 면세 및 영세(수출, 벙커링) 판매분을 제외한 과세물량 기준으로 작성 - 주유소, 판매소 등 판매한 거래처별로 구분하여 작성 - 실적이 없어도 '보고대상 없음'이나 '0'으로 가격보고 해야 함",1317,석유사업자,2020.12.02
주유소 가격 리스트를 다운로드하고 싶어요,메인 화면에 '유가정보 내려받기' 메뉴가 있습니다. 해당 화면에서 전국 주유소 판매가격 리스트를 엑셀로 다운로드 받으실 수 있습니다.,26,일반사용자,2020.02.12
불법거래업소 또는 주유소 영업에 대한 불만을 신고를 하고 싶어요,"저희 Opinet은 전국 주유소의 가격을 제공하는 사이트로서 주유소 영업상의 문제에 관해서는 담당하고 있지 않습니다. 영업 관련 부분은 각 지자체 에너지담당부서에 문의바라며, 불법거래업소 신고는 한국석유관리원(1588-5166)으로 문의하시면 도움을 받으실 수 있습니다.",28,일반사용자,2020.02.12
담당자가 바뀌었어요,"모니터링실(1688-5142)로 전화하셔서 담당자 변경 요청을 해주시기 바랍니다. 또는, 기존 아이디 탈퇴신청을 하시고 새로운 아이디로 가입 후 자치단체공무원 등록 승인 요청을 해주시면 됩니다.",30,지방자치단체,2020.02.12
주간자료의 날짜기준을 알고 싶습니다,"현재 오피넷은 유가통계를 일간, 주간, 월간 등의 기준으로 제공하고 있습니다. 이 중 주간 기준의 통계는 주유소 판매가격의 경우 해당 주 일요일~목요일을 기준으로 하며, 정유사 공급가격의 경우 전주 일요일~토요일을 기준으로 합니다. 또한, 몇주차인지 환산할시에는 수요일을 기준으로 합니다. 예를 들어 이번주 수요일이 11월 이라면 이번주는 11월 첫째주이며, 이번주 수요일이 10월 이라면 이번주는 10월 마지막주 입니다. 따라서 수요일이 5번 있는 달은 5주차까지 있고, 수요일이 4번 있는 달은 4주차까지 있습니다.",36,일반사용자,2019.05.15
오피넷 페이지가 제대로 열리지 않아요,익스플로러 구 버전을 사용하고 계신 분들 중에 오피넷 접속이 원활하지 않으신 분들이 있습니다. 오피넷은 익스플로러 버전 11에 최적화 되어 있으며 접속 장애가 있으신 분들은 익스플로러 메뉴 도움말>Internet Explorer 정보에서 버전을 확인후 버전을 업그레이드 받으시기 바랍니다. 감사합니다.,37,일반사용자,2019.03.26
오피넷에 나오는 주유소 정보를 수정하고 싶어요,"1688-5142로 전화주시면 바로 수정해 드리며, 홍보자료 등록 등을 직접 수정하기 원하실 경우에는 오피넷 회원가입 후 석유관계사 신청을 하시면 정보 수정은 물론 가격도 직접 입력 하실 수 있습니다. (단말기 전송과 동시사용 가능)",18,석유사업자,2019.01.31
가격보고 담당자가 바뀌었어요,"가격보고 담당자 변경 시 기존 회원 탈퇴 처리 후, 신규 아이디로 회원가입 및 석유관계사 등록 신청을 하시면 됩니다.",21,석유사업자,2019.01.31
대리점_월간 판매가격 보고 서식(온라인 입력 업로드용),"오피넷 홈페이지 로그인하여 직접 보고시, 엑셀 서식에 입력 후 업로드가 가능합니다. 해당 서식 파일이오니 참고 바랍니다.",1318,석유사업자,2019.01.31
대리점_월간 판매가격 보고 서식(이메일 보고용),이메일로 판매가격 보고시 사용할 서식 파일입니다. 해당 항목에 입력 후 이메일(opinet@knoc.co.kr) 로 보고 바랍니다.,1319,석유사업자,2019.01.31
2018년 유류세 한시적 인하(18.11.6일부터) 안내,"[기획재정부 보도자료] - 영세 자영업자, 중소기업, 서민 등의 부담 완화 차원에서 휘발유,경유,LPG 부탄에 대한 유류세를 ‘18.11.6일부터 ’19.5.6일까지 한시적으로 15% 인하 - 유류세 인하로 인해 휘발유 123원/ℓ, 경유 87원/ℓ,LPG부탄 30원/ℓ의 가격 인하요인(VAT 10% 포함)이 발생할 것으로 기대 < 교통에너지환경세(부탄은 개별소비세) > - 휘발유 : 529원/L → 450원/L - 경유 : 375원/L → 319원/L - LPG부탄 : 275원/kg → 234원/kg < 교육세(교통에너지환경세(또는 개별소비세)의 15%) > - 휘발유 : 79.35원/L → 67.50원/L - 경유 : 56.25원/L → 47.85원/L - LPG부탄 : 41.25원/kg → 35.10원/kg < 주행세(교통에너지환경세의 26%) > - 휘발유 : 137.54원/L → 117.00원/L - 경유 : 97.50원/L → 82.94원/L 감사합니다.",1273,일반사용자,2018.11.05
오피넷 접속시 기본으로 뜨는 지역정보가 현재 위치한 정보와 달라요,"오피넷은 접속하신 IP를 기준으로 접속하신 지역의 정보를 바로 보여드리는 서비스를 제공하고 있습니다. 그런데 간혹 접속하신 지역과 오피넷에 기본으로 나오는 지역이 상이한 경우가 있습니다. 이런경우, http://ip.neard.co.kr 에 접속하셔서 페이지에 있는 '오류신고'를 클릭해서 수정해주시면 됩니다.(수정은 접속자 본인만 가능합니다.) 조치가 안될 경우 접속IP를 확인 후 문의 바랍니다. (IP는 포털 사이트에서 '내 IP 확인' 등으로 검색하면 확인 가능합니다) 첨부의 화면을 참조 바랍니다. 감사합니다~!",39,일반사용자,2018.04.11
로그인오류(로그인 페이지 표시 오류),"로그인 관련하여 정부 지침에 따라 암호화 알고리즘이 강화되었습니다. 로그인 클릭시 해당 페이지가 표시되지 않을 경우, 인터넷 옵션을 확인 바랍니다. 인터넷옵션 > 고급 > 보안 카테고리에서 SSL 및 TLS 사용 여부를 첨부와 같이 체크해 주시기 바랍니다. 인터넷 익스플로러 8.0 인 경우 해당 암호화 알고리즘을 지원하지 않을 수 있으니 상위 버전으로 업그레이드가 필요합니다.",1129,일반사용자,2017.07.31
오피넷에서 다운로드 받은 엑셀 파일이 열리지 않아요,최근 Windows OS의 강화된 보안정책으로 오피넷에서 다운로드 받은 엑셀 파일이 열리지 않는 경우가 있습니다. 이런 경우에는 첨부된 파일을 참고하셔서 본인의 엑셀 버전에 맞춰 조치하시면 파일을 정상적으로 이용하실 수 있습니다. 감사합니다.,1039,일반사용자,2016.07.27
오피넷 가격이 틀려요,"오피넷의 가격은 주유소 사업자의 보고, 카드단말기 사용 등을 통해 수집됩니다. 따라서 주유소 사업자가 가격변동 후에도 변동사항을 보고하지 않았거나, 단말기 가격이 아직 업데이트 되지 않았을 때(하루 6회 업데이트), 실제 판매 가격과 상이할 수 있습니다. 2009년 5월 1일부터 시행된 석유 및 석유대체연료 사업법 시행규칙에 따라 모든 주유소, 대리점, 정유사는 오피넷에 가격보고를 하게 되어 있고, 주유소의 경우 가격변동 후 24시간 이내에 가격변동 신고를 하지 않으면 각 지방자치단체에 의해 200만원의 과태료 처분을 받게 됩니다. 따라서, 가격오류 시 일단 오피넷으로 신고를 해주시면 확인절차 후 수정, 반영하겠습니다. 간혹 주유소 사업자가 개별적으로 할인해 준 가격이 게시되는 경우도 있습니다. 이러한 경우 오피넷으로 신고를 해주시면 확인절차 후 수정, 반영하겠습니다. 감사합니다.",12,가격문의,2016.03.09
"휘발유, 등유, 경유, LPG를 제외한 타 유종의 가격을 알고 싶어요.",국내유가>정유사>월간판매가격에서 확인하실 수 있습니다.,15,가격문의,2016.03.09
오피넷에서 갑자기 주유소가 사라졌어요,"7일 이상 오피넷으로 가격보고가 이루어지지 않을 경우, 자동으로 지도에서 주유소가 사라지게 되어 있습니다. 따라서, 가격변동이 있지 않아도 7일에 한번은 직접 입력 등을 통해 가격보고를 해주셔야 합니다. 또는 사업자번호가 변경되었으나 이를 신고하지 않았을 때도, 기존 사업자번호에 대한 주유소가 폐업된 것으로 간주되어 지도에서 주유소가 사라지게 됩니다. 이러한 경우에는 새로운 사업자번호로 가격정보가 변경될 수 있도록 공지사항 15번 ""주유소 판매가격 보고 방법 안내[중요]""를 참고하시어 공사로 통보해 주시기 바랍니다.  (문의 : 1688-5142)",20,석유사업자,2016.03.09
유가정보 내려받기 과거 판매가격 기준 안내,"오피넷에서 제공하고 있는 ""유가정보 내려받기""의 업체별 과거 일일 판매가격의 경우 해당 일자의 16시 오피넷 게시 가격을 기준으로 합니다. 따라서, 해당 일자에 가격이 변경된 경우 변경 전후의 가격이 모두 반영 되는게 아니라 시간에 따라 변경전, 또는 변경후의 가격 하나만 반영됩니다.",961,가격문의,2015.10.28
공장도 가격과 오피넷에 공개되고 있는 정유사 또는 대리점 가격의 차이,"1997년 유가자유화가 실시된 후에 석유제품의 가격은 정유사, 대리점, 주유소 등 석유 제품 각 단계별 판매자가 자율적으로 결정하고 있습니다. 그리고 흔히 정유사나 대리점에서 이야기하는 공장도 가격은 공식적인 가격이 아닙니다. 실제로 정유사 등이 공급할 때의 가격은 유통비용이나 판매 대상에 따라 달라질 수 있습니다. 반면에 오피넷(또는 페트로넷)에서 공개하고 있는 정유사 공급(판매)가격은 정유사 등이 주유소, 대리점, 판매처에 판매한 내수매출액을 내수 판매량으로 나눈 제품별 물량 가중 평균 판매가격을 말합니다. 이는 석유 및 석유대체연료 사업법 제38조의2에 근거하여 석유판매업자들에게 가격보고를 받고 이를 공개하는 것으로 실제적으로 정유사나 대리점에서 공급하는 가격과는 차이가 있을 수 있습니다. 감사합니다.",935,가격문의,2015.07.22
정유사 공급가격과 판매가격의 차이가 무엇인가요?,"정유사 공급가격은 정유사가 직영을 제외한 대리점, 주유소 및 판매처에 판매한 물량 및 금액을 가지고 산정한 가격으로 매주 자료가 나옵니다. 반면 정유사 판매가격은 직영을 포함한 모든 거래처에 판매한 물량에 대한 가격으로 매달 자료가 나오며 이달의 수치는 다음달 말 경에 나오게 됩니다.",16,가격문의,2009.09.25
